ParticipantId,Formatted_time,Batterylevel
4264.0,2020-12-09 23:37:41,27
4264.0,2020-12-09 23:37:56,27
4264.0,2020-12-09 23:38:11,27
4264.0,2020-12-09 23:38:27,27
4264.0,2020-12-09 23:38:42,27
4264.0,2020-12-09 23:38:57,27
4264.0,2020-12-09 23:39:14,27
4264.0,2020-12-09 23:39:29,27
4264.0,2020-12-09 23:39:44,27
4264.0,2020-12-09 23:39:59,27
4264.0,2020-12-09 23:40:14,27
4264.0,2020-12-09 23:40:29,27
4264.0,2020-12-09 23:40:47,27
4264.0,2020-12-09 23:41:02,27
4264.0,2020-12-09 23:41:17,27
4264.0,2020-12-09 23:41:32,27
4264.0,2020-12-09 23:41:47,27
4264.0,2020-12-09 23:42:02,27
4264.0,2020-12-09 23:42:19,27
4264.0,2020-12-09 23:42:34,27
4264.0,2020-12-09 22:32:03,30
4264.0,2020-12-09 22:32:18,30
4264.0,2020-12-09 22:32:33,30
4264.0,2020-12-09 22:32:48,30
4264.0,2020-12-09 22:33:05,30
4264.0,2020-12-09 22:33:20,30
4264.0,2020-12-09 22:33:35,30
4264.0,2020-12-09 22:33:51,30
4264.0,2020-12-09 22:34:06,30
4264.0,2020-12-09 22:34:21,30
4264.0,2020-12-09 22:34:38,30
4264.0,2020-12-09 22:34:53,30
4264.0,2020-12-09 22:35:08,30
4264.0,2020-12-09 22:35:28,30
4264.0,2020-12-09 22:35:43,30
4264.0,2020-12-09 22:35:58,30
4264.0,2020-12-09 22:36:13,30
4264.0,2020-12-09 22:36:31,30
4264.0,2020-12-09 22:36:46,30
1628.0,2020-12-11 18:16:06,67
1628.0,2020-12-11 18:21:23,67
2704.0,2020-12-11 21:13:53,72
2704.0,2020-12-11 21:13:54,72
2704.0,2020-12-11 17:16:43,50
2704.0,2020-12-11 17:16:57,50
2704.0,2020-12-11 17:17:12,50
2704.0,2020-12-11 17:17:27,50
2704.0,2020-12-11 17:17:42,50
1628.0,2020-12-11 17:28:25,71
1628.0,2020-12-12 11:52:29,94
4264.0,2020-12-10 14:16:40,72
4264.0,2020-12-10 14:16:55,72
4264.0,2020-12-10 14:17:11,72
4264.0,2020-12-10 14:17:26,72
4264.0,2020-12-10 14:17:41,72
4264.0,2020-12-10 14:17:58,72
4264.0,2020-12-10 14:18:13,71
4264.0,2020-12-10 14:18:28,71
4264.0,2020-12-10 14:18:43,71
4264.0,2020-12-10 14:18:59,71
4264.0,2020-12-10 14:19:14,71
4264.0,2020-12-10 14:19:31,71
4264.0,2020-12-10 14:19:46,71
4264.0,2020-12-10 02:32:51,44
4264.0,2020-12-10 02:33:06,44
4264.0,2020-12-10 02:33:21,44
4264.0,2020-12-10 02:33:36,44
4264.0,2020-12-10 02:33:51,44
4264.0,2020-12-10 02:34:07,44
4264.0,2020-12-10 02:34:23,44
4264.0,2020-12-10 02:34:39,44
4264.0,2020-12-10 02:34:54,44
4264.0,2020-12-10 02:35:09,44
4264.0,2020-12-10 02:35:24,44
4264.0,2020-12-10 02:35:39,44
4264.0,2020-12-10 02:35:57,44
4264.0,2020-12-10 02:36:12,44
4264.0,2020-12-10 02:36:27,44
4264.0,2020-12-10 02:36:42,44
4264.0,2020-12-10 02:36:57,44
4264.0,2020-12-10 02:37:12,44
4264.0,2020-12-10 02:37:29,44
4264.0,2020-12-10 14:11:39,72
4264.0,2020-12-10 14:11:54,72
4264.0,2020-12-10 14:12:10,72
4264.0,2020-12-10 14:12:26,72
4264.0,2020-12-10 14:12:41,72
4264.0,2020-12-10 14:12:56,72
4264.0,2020-12-10 14:13:11,72
4264.0,2020-12-10 14:13:26,72
4264.0,2020-12-10 14:13:41,72
4264.0,2020-12-10 14:13:58,72
4264.0,2020-12-10 14:14:14,72
4264.0,2020-12-10 14:14:29,72
4264.0,2020-12-10 14:14:46,72
4264.0,2020-12-10 15:35:44,64
4264.0,2020-12-10 15:35:59,64
4264.0,2020-12-10 15:36:14,63
4264.0,2020-12-10 15:36:30,63
4264.0,2020-12-10 15:36:45,63
