Row_id,Type,Id,DeviceId,Timestamp,ProtocolId,BuildId,ParticipantId,DeviceManufacturer,DeviceModel,OperatingSystem,TaggedEventId,TaggedEventTags,SensingAgentStateDescription,LocalOffsetFromUTC,Decibels,BatteryLevel,AccessPointBSSID,Activity,Phase,State,Confidence,Latitude,Longitude,LocationAccuracy,ProtocolName,Formatted_time
9948,"Sensus.Probes.Device.BatteryDatum, SensusAndroid",906dd801-3bac-4675-b925-4992e6cfdd1b,b6c7054108615ca5,2020-12-10 08:30:01.124091+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,38.0,,,,,,,,,,2020-12-10 03:30:01
9949,"Sensus.Probes.Context.SoundDatum, SensusAndroid",3fa5383f-9c89-4862-9d43-605c13e6e522,b6c7054108615ca5,2020-12-10 08:30:01.258678+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,74.89524474131156,,,,,,,,,,,2020-12-10 03:30:01
9950,"Sensus.Probes.Location.LocationDatum, SensusAndroid",77b667db-31a9-4841-acd8-ba8c83520f59,b6c7054108615ca5,2020-12-10 08:30:10.647286+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,,,,,,,35.3069549,-80.72362269999999,11.616999626159668,,2020-12-10 03:30:10
9951,"Sensus.Probes.Device.BatteryDatum, SensusAndroid",b8593535-d8e7-40c3-9cfd-816fcc5dad33,b6c7054108615ca5,2020-12-10 08:30:16.232328+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,38.0,,,,,,,,,,2020-12-10 03:30:16
9952,"Sensus.Probes.Context.SoundDatum, SensusAndroid",9bbb9e57-5a43-4dc6-9ef1-b74c9e005122,b6c7054108615ca5,2020-12-10 08:30:26.378450+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,40.90645957573315,,,,,,,,,,,2020-12-10 03:30:26
9953,"Sensus.Probes.Location.LocationDatum, SensusAndroid",6a35e819-80c4-423a-b203-72af1b6cc920,b6c7054108615ca5,2020-12-10 08:30:28.762914+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,,,,,,,35.3069563,-80.7236181,11.64900016784668,,2020-12-10 03:30:28
9954,"Sensus.Probes.Device.BatteryDatum, SensusAndroid",958e424e-b7bb-4d7d-8553-e0c9978a514f,b6c7054108615ca5,2020-12-10 08:30:31.301815+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,38.0,,,,,,,,,,2020-12-10 03:30:31
9955,"Sensus.Probes.Device.BatteryDatum, SensusAndroid",97f731e3-e2e7-4e4e-b4b4-464939eca493,b6c7054108615ca5,2020-12-10 08:30:46.543498+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,38.0,,,,,,,,,,2020-12-10 03:30:46
9956,"Sensus.Probes.Context.SoundDatum, SensusAndroid",39264b89-0a03-43c0-8b3d-57bfe6d22e59,b6c7054108615ca5,2020-12-10 08:30:46.678047+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,40.256744494103444,,,,,,,,,,,2020-12-10 03:30:46
9957,"Sensus.Probes.Device.BatteryDatum, SensusAndroid",352234b7-4bed-4dcd-b188-bdbf7787fd96,b6c7054108615ca5,2020-12-10 08:31:01.605627+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,38.0,,,,,,,,,,2020-12-10 03:31:01
9958,"Sensus.Probes.Context.SoundDatum, SensusAndroid",c4d94412-65bc-4a1c-98c7-e5bb8fd5380c,b6c7054108615ca5,2020-12-10 08:31:11.769799+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,70.91356299584051,,,,,,,,,,,2020-12-10 03:31:11
9959,"Sensus.Probes.Device.BatteryDatum, SensusAndroid",281e5876-da15-46b3-91cb-cb1c35fed059,b6c7054108615ca5,2020-12-10 08:31:16.712283+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,38.0,,,,,,,,,,2020-12-10 03:31:16
9960,"Sensus.Probes.Location.LocationDatum, SensusAndroid",d323dbe7-ff3f-4b2c-a061-c80ef31585c7,b6c7054108615ca5,2020-12-10 08:31:26.526965+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,,,,,,,35.306956,-80.7236167,11.62399959564209,,2020-12-10 03:31:26
9961,"Sensus.Probes.Device.BatteryDatum, SensusAndroid",dbe7f158-d85e-43d2-90ab-05ed48503ddb,b6c7054108615ca5,2020-12-10 08:31:33.813200+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,38.0,,,,,,,,,,2020-12-10 03:31:33
9962,"Sensus.Probes.Context.SoundDatum, SensusAndroid",f24b3bbc-b1e6-4dc4-a4ba-87b72008bffd,b6c7054108615ca5,2020-12-10 08:31:33.952167+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,65.80959626661345,,,,,,,,,,,2020-12-10 03:31:33
9963,"Sensus.Probes.Location.LocationDatum, SensusAndroid",5c2decde-50cc-4aa8-8413-da6cdcf28e0f,b6c7054108615ca5,2020-12-10 08:31:43.722107+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,,,,,,,35.3069543,-80.7236174,11.62399959564209,,2020-12-10 03:31:43
9964,"Sensus.Probes.Device.BatteryDatum, SensusAndroid",fcc029c1-336d-472a-9dcf-a74da659b071,b6c7054108615ca5,2020-12-10 08:31:48.913354+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,38.0,,,,,,,,,,2020-12-10 03:31:48
